Algorithm,Original Size (bytes),Compressed Size (bytes),Original Size (MB),Compressed Size (MB),Compression Ratio,Space Saved,Compression Time (s),Integrity,Output File
NEXACOMPRESS,5089081,4983242,4.853325843811035,4.752389907836914,0.9792027283511502,0.020797271648849813,3.964280128479004,PASS,sample1_nexacompress.pdf
DEFLATE,5089081,4994791,4.853325843811035,4.76340389251709,0.9814720968284844,0.018527903171515647,0.07972979545593262,PASS,sample1_deflate.pdf
LZMA,5089081,4983236,4.853325843811035,4.752384185791016,0.9792015493563573,0.02079845064364272,1.3081088066101074,PASS,sample1_lzma.pdf
Zstandard,5089081,4983378,4.853325843811035,4.752519607543945,0.9792294522331242,0.020770547766875813,0.2755472660064697,PASS,sample1_zstd.pdf
Brotli,5089081,4968395,4.853325843811035,4.7382307052612305,0.9762853057359472,0.023714694264052816,6.5919740200042725,PASS,sample1_brotli.pdf
Huffman,5089081,5090915,4.853325843811035,4.855074882507324,1.0003603794083844,-0.00036037940838440363,0.6088662147521973,PASS,sample1_huffman.pdf
